-1,1,3,2143,1,0,0
-1,0,2,29,1,0,0
-1,1,2,2,1,1,0
47,1,4,1506,1,0,0
33,0,4,1,0,0,0
35,1,3,231,1,0,0
28,0,3,447,1,1,0
-1,2,3,0,1,0,0
58,1,1,0,1,0,0
43,0,2,0,1,0,0
41,2,2,270,1,0,0
29,0,2,390,1,0,0
53,1,2,6,1,0,0
58,1,4,71,1,0,0
57,1,2,162,1,0,0
51,1,1,229,1,0,0
45,0,4,13,1,0,0
57,1,1,52,1,0,0
60,1,1,60,1,0,0
33,1,2,0,1,0,0
28,1,2,723,1,1,0
56,1,3,779,1,0,0
32,0,1,23,1,1,0
25,1,2,50,1,0,0
40,1,1,0,1,1,0
44,1,2,-372,1,0,0
39,0,3,255,1,0,0
52,1,2,113,1,1,0
46,0,2,-246,1,0,0
36,0,2,265,1,1,0
57,1,2,839,0,1,0
49,1,3,378,1,0,0
60,1,2,39,1,1,0
59,1,2,0,1,0,0
51,1,3,10635,1,0,0
57,2,2,63,1,0,0
25,1,2,-7,1,0,0
53,1,2,-3,0,0,0
36,2,2,506,1,0,0
37,0,2,0,1,0,0
44,2,2,2586,1,0,0
50,1,2,49,1,0,0
60,1,4,104,1,0,0
54,1,2,529,1,0,0
58,1,4,96,1,0,0
36,0,1,-171,1,0,0
58,1,3,-364,1,0,0
44,1,2,0,1,0,0
55,2,2,0,0,0,0
29,0,3,0,1,0,0
54,1,2,1291,1,0,0
48,2,3,-244,1,0,0
32,1,3,0,1,0,0
-1,0,2,-76,1,0,0
-1,0,2,-103,1,1,0
-1,0,3,243,0,1,0
-1,0,3,424,1,0,0
-1,1,4,306,1,0,0
-1,0,4,24,1,0,0
-1,1,1,179,1,0,0
-1,1,3,0,1,0,0
53,2,2,989,1,0,0
57,1,1,249,1,0,0
33,1,2,790,1,0,0
49,1,4,154,1,0,0
51,1,3,6530,1,0,0
60,1,3,100,0,0,0
59,2,3,59,1,0,0
55,1,2,1205,1,0,0
35,0,2,12223,1,1,0
57,1,2,5935,1,1,0
31,1,2,25,1,1,0
54,1,2,282,1,1,0
55,1,1,23,1,0,0
43,1,2,1937,1,0,0
53,1,2,384,1,0,0
44,1,2,582,0,1,0
55,2,2,91,0,0,0
49,2,2,0,1,1,0
55,2,2,1,1,0,0
45,0,2,206,1,0,0
47,2,2,164,0,0,0
42,0,2,690,1,0,0
59,1,2,2343,1,0,1
46,1,3,137,1,1,0
51,1,1,173,1,0,0
56,1,2,45,0,0,1
41,1,2,1270,1,0,1
46,2,2,16,1,1,0
57,1,2,486,1,0,0
42,0,2,50,0,0,0
30,1,2,152,1,1,0
60,1,2,290,1,0,0
60,1,4,54,1,0,0
57,2,2,-37,0,0,0
36,1,3,101,1,1,0
55,1,2,383,0,0,0
60,1,3,81,1,0,0
39,1,2,0,1,0,0
46,1,3,229,1,0,0
44,1,2,-674,1,0,0
53,1,1,90,0,0,0
52,1,1,128,1,0,0
59,1,1,179,1,0,0
27,0,3,0,1,0,0
44,1,2,54,1,0,0
47,1,3,151,1,0,0
34,1,2,61,0,1,0
59,0,2,30,1,0,0
45,1,3,523,1,0,0
29,2,2,31,1,0,0
46,2,2,79,0,0,0
56,1,1,-34,1,1,0
36,1,1,448,1,0,0
59,2,1,81,1,0,0
44,1,2,144,1,0,0
41,1,2,351,1,0,0
33,0,3,-67,1,0,0
59,2,3,262,0,0,0
57,1,1,0,0,0,0
56,2,4,56,1,0,0
51,1,2,26,1,0,0
34,1,4,3,1,0,0
43,1,2,41,1,1,0
52,1,3,7,0,1,0
33,0,2,105,1,0,0
29,0,2,818,1,1,0
34,1,2,-16,1,1,0
31,1,2,0,1,0,0
55,1,2,2476,1,0,1
55,1,4,1185,0,0,0
32,0,2,217,1,0,0
38,0,2,1685,1,0,0
55,0,2,802,1,1,0
28,0,3,0,1,0,0
23,1,2,94,1,0,0
32,0,2,0,1,0,0
43,0,4,0,0,0,0
32,1,2,517,1,0,0
46,1,2,265,1,0,0
53,2,1,947,1,0,0
34,0,2,3,1,0,0
57,1,3,42,0,0,0
37,1,2,37,1,0,0
59,1,2,57,1,0,0
33,1,2,22,1,0,0
56,2,1,8,1,0,0
48,1,2,293,1,0,0
43,1,1,3,1,0,0
54,1,1,348,1,0,0
51,1,4,-19,1,0,0
26,0,2,0,1,0,0
40,1,3,-4,1,0,0
39,1,2,18,1,0,0
50,1,1,139,0,0,0
41,1,2,0,1,0,0
51,1,4,1883,1,0,0
60,2,2,216,1,0,0
52,1,2,782,1,0,0
48,1,2,904,1,0,0
48,1,4,1705,1,0,0
39,0,3,47,1,0,0
47,0,2,176,1,0,0
40,1,2,1225,1,0,0
45,1,2,86,1,0,0
26,0,2,82,1,0,0
52,1,3,271,1,0,0
54,1,2,1378,1,0,0
54,1,3,184,0,0,1
50,1,1,0,0,0,0
35,1,2,0,1,0,0
44,1,2,1357,1,1,0
53,1,4,19,1,0,0
35,0,1,434,0,0,0
60,2,2,92,1,0,0
53,2,2,1151,1,0,0
48,1,2,41,1,0,0
34,1,2,51,1,0,0
54,1,2,214,1,0,0
51,1,2,1161,1,0,0
31,1,3,37,1,0,0
35,2,2,787,1,0,0
35,1,2,59,1,0,0
38,1,2,253,1,0,0
36,1,3,211,1,0,0
58,1,1,235,1,0,0
40,2,4,4384,1,0,0
54,1,2,4080,0,0,0
34,0,2,53,1,1,0
